ok,ttft_s,total_s,output_tokens,tpot_s
True,1.0437870410023606,3.533807749998232,79,0.03192334242302399
True,0.18226141700142762,4.198007583996514,128,0.03162004855901643
True,0.18959745900065172,4.264477500000794,127,0.03234031778571542
True,0.23259545899782097,4.443488416996843,128,0.03315663746455923
True,0.45481883300089976,4.5829292080015875,128,0.03250480610236762
True,0.18693825000082143,2.97047291600029,79,0.035686341871788055
True,0.18967174999852432,4.9699543329988956,128,0.0376400203385856
True,0.5234460000065155,5.39019858300162,127,0.038625020499961145
True,0.36074933299823897,5.351435915996262,128,0.039296744748015935
True,0.2074165410012938,5.552667750002001,128,0.04208859219685596
True,0.3308460420012125,2.938430458001676,79,0.033430569435903376
True,0.18723283299914328,4.467161083004612,128,0.03370022244098794
